0-8930 press up
1330-1510 press right
2200-2260 press right
2510-2720 press left
3100 steer -60854
3110 steer -65536
3170 steer 0
3180 steer 15149
3190 steer 0
3240 steer 27616
3250 steer 0
3270 steer -38296
3280 steer 0
3450 steer 65536
3530 steer 59051
3540 steer 65536
3570 steer 0
3630 steer -65536
3770 steer 0
3780 steer -64946
3790 steer 0
3840 steer -23750
3850 steer 0
3950 steer -53477
3960 steer 63595
3970 steer 0
3980 steer -33053
3990 steer -6239
4000 steer 0
4090 steer 32650
4100 steer 0
4110 steer -4698
4120 steer 0
4150 steer -8357
4160 steer 13786
4170 steer 0
4190 steer -11733
4200 steer 52850
4210 steer 0
4230 steer 56593
4240 steer 24017
4250 steer 0
4270 steer -5331
4280 steer 0
4290 steer -60310
4300 steer 0
4320 steer -57002
4330 steer 0
4380 steer 63097
4390 steer 0
4400 steer 11122
4410 steer 35163
4420 steer 0
4500 steer -31552
4510 steer 65536
4690 steer 59547
4700 steer 65536
4910 steer 23511
4920 steer 65536
5300 steer 16806
5310 steer 0
5430 steer -2915
5440 steer 0
5470 steer 15214
5480 steer 0
5970 steer 7044
5980 steer 0
6160 steer -45560
6170 steer 0
6180 steer -45564
6190 steer 0
6260 steer 62850
6270 steer 22325
6280 steer 27419
6290 steer 30546
6300 steer 32657
6310 steer 21058
6320 steer 33019
6330 steer -8466
6340 steer 25963
6350 steer 15852
6360 steer 0
6370 steer -63178
6380 steer 0
6400 steer 6418
6410 steer 0
6420 steer 18937
6430 steer 0
6440 steer 18433
6450 steer -7883
6460 steer 5069
6470 steer -21565
6480 steer -26179
6490 steer -30637
6500 steer -34632
6510 steer -38784
6520 steer -46317
6530 steer -52415
6540 steer -58104
6550 steer -61998
6560 steer -63791
6570 steer -65536
6680 steer -43799
6690 steer -65536
6730 steer -1278
6740 steer -65536
6750 steer -29321
6760 steer -65536
6830 steer -9217
6840 steer -6257
6850 steer -65536
6900 steer -35249
6910 steer -65536
7000 steer -230
7010 steer -65536
7200 steer -54505
7210 steer -65536
7220 steer -25106
7230 steer -65536
7280 steer -21324
7290 steer -12160
7300 steer -65536
7310 steer -45028
7320 steer -65536
7430 steer -20949
7440 steer 0
7690 steer -48662
7700 steer 0
7860 steer -42814
7870 steer 0
7900 steer 63172
7910 steer 0
7970 steer 57262
7980 steer 0
8030 steer 11666
8040 steer 0
8100 steer -13347
8110 steer 0
8290 steer -31065
8300 steer 0
