0-11080 press up
2460 steer -887
2470 steer -5542
2480 steer -5542
2490 steer -13300
2500 steer -21575
2510 steer -21575
2520 steer -30367
2530 steer -36573
2540 steer -36573
2550 steer -39676
2560 steer -39676
2570 steer -39676
2580 steer -39676
2590 steer -36573
2600 steer -32436
2610 steer -30367
2620 steer -30367
2630 steer -30367
2640 steer -30367
2650 steer -30367
2660 steer -29850
2670 steer -28815
2680 steer -26746
2690 steer -19506
2700 steer -19506
2710 steer -6576
2720 steer 0
2730 steer 0
2740 steer 0
2750 steer 0
2760 steer 0
2770 steer 0
2780 steer 0
2790 steer 0
2800 steer 0
2810 steer 0
2820 steer 0
2830 steer 0
2840 steer 0
2850 steer 0
2860 steer 0
2870 steer 0
2880 steer 0
2890 steer 0
2900 steer 0
2910 steer 0
2920 steer 0
2930 steer 0
2940 steer 0
2950 steer 0
2960 steer 0
2970 steer 0
2980 steer 0
2990 steer 0
3000 steer 0
3010 steer 0
3020 steer 0
3030 steer 0
3040 steer 0
3050 steer 0
3060 steer 0
3070 steer 0
3080 steer 0
3090 steer 0
3100 steer 9324
3110 steer 29813
3120 steer 29813
3130 steer 52929
3140 steer 63962
3150 steer 65536
3160 steer 65536
3170 steer 65536
3180 steer 65536
3190 steer 65536
3200 steer 65536
3210 steer 65536
3220 steer 43472
3230 steer 30864
3240 steer 16679
3250 steer 0
3260 steer 0
3270 steer 0
3280 steer 0
3290 steer 0
3300 steer 0
3310 steer 0
3320 steer 0
3330 steer 0
3340 steer 0
3350 steer 0
3360 steer 0
3370 steer 0
3380 steer 0
3390 steer 0
3400 steer 0
3410 steer 0
3420 steer 0
3430 steer 0
3440 steer 0
3450 steer 0
3460 steer 0
3470 steer 0
3480 steer 0
3490 steer 9324
3500 steer 31389
3510 steer 31389
3520 steer 57131
3530 steer 60810
3540 steer 60810
3550 steer 57131
3560 steer 45573
3570 steer 32965
3580 steer 9324
3590 steer 2493
3600 steer 0
3610 steer 0
3620 steer 0
3630 steer 0
3640 steer 0
3650 steer 0
3660 steer 0
3670 steer 0
3680 steer 0
3690 steer 0
3700 steer 0
3710 steer 0
3720 steer 0
3730 steer 0
3740 steer 0
3750 steer 0
3760 steer 0
3770 steer 0
3780 steer 0
3790 steer 0
3800 steer 0
3810 steer 0
3820 steer 0
3830 steer 0
3840 steer 0
3850 steer 0
3860 steer 0
3870 steer 0
3880 steer 0
3890 steer 0
3900 steer 0
3910 steer -1404
3920 steer -2439
3930 steer -3990
3940 steer -4507
3950 steer -4507
3960 steer -3473
3970 steer -3473
3980 steer -3473
3990 steer 0
4000 steer 0
4010 steer 0
4020 steer 0
4030 steer 0
4040 steer 0
4050 steer 0
4060 steer 0
4070 steer 0
4080 steer 0
4090 steer 0
4100 steer 0
4110 steer 0
4120 steer 0
4130 steer 0
4140 steer 0
4150 steer 0
4160 steer 0
4170 steer 0
4180 steer 0
4190 steer 0
4200 steer 0
4210 steer 0
4220 steer 0
4230 steer 0
4240 steer 0
4250 steer 0
4260 steer 0
4270 steer 0
4280 steer 0
4290 steer 0
4300 steer 0
4310 steer 0
4320 steer 0
4330 steer 0
4340 steer 0
4350 steer 0
4360 steer 0
4370 steer 0
4380 steer 0
4390 steer 0
4400 steer 0
4410 steer 0
4420 steer 0
4430 steer 0
4440 steer 0
4450 steer 0
4460 steer 0
4470 steer 0
4480 steer 0
4490 steer 0
4500 steer 0
4510 steer 0
4520 steer 0
4530 steer 0
4540 steer 0
4550 steer 0
4560 steer 0
4570 steer 0
4580 steer 0
4590 steer 0
4600 steer 0
4610 steer 0
4620 steer 0
4630 steer 0
4640 steer 0
4650 steer 0
4660 steer 0
4670 steer 0
4680 steer 0
4690 steer 0
4700 steer 0
4710 steer 0
4720 steer 0
4730 steer 0
4740 steer 0
4750 steer 0
4760 steer 0
4770 steer 0
4780 steer 0
4790 steer 0
4800 steer 0
4810 steer 0
4820 steer 0
4830 steer 0
4840 steer 0
4850 steer 0
4860 steer 0
4870 steer 0
4880 steer 0
4890 steer 0
4900 steer 0
4910 steer 0
4920 steer 0
4930 steer 0
4940 steer 0
4950 steer 0
4960 steer 0
4970 steer 0
4980 steer 0
4990 steer 0
5000 steer 0
5010 steer 0
5020 steer 0
5030 steer 0
5040 steer 0
5050 steer 0
5060 steer 0
5070 steer 0
5080 steer 0
5090 steer 0
5100 steer 0
5110 steer 0
5120 steer 0
5130 steer 0
5140 steer 0
