# Time: 6790, iterations: 890
0-6920 press up
920 steer 814
930 steer 1391
940 steer 1969
950 steer 2547
960 steer 2547
970 steer 2547
980 steer 3125
990 steer 3125
1000 steer 3125
1010 steer 3125
1020 steer 3125
1030 steer 3125
1040 steer 3125
1050 steer 3125
1060 steer 3125
1070 steer 3125
1080 steer 3125
1090 steer 3125
1100 steer 3125
1110 steer 3125
1120 steer 3125
1130 steer 3703
1140 steer 3703
1150 steer 3703
1160 steer 3703
1170 steer 4280
1180 steer 4280
1190 steer 4280
1200 steer 4280
1210 steer 4280
1220 steer 4280
1230 steer 4280
1240 steer 4280
1250 steer 4280
1260 steer 4280
1270 steer 4280
1280 steer 4280
1290 steer 4280
1300 steer 4280
1310 steer 4280
1320 steer 4280
1330 steer 4280
1340 steer 4280
1350 steer 4280
1360 steer 4858
1370 steer 4858
1380 steer 4858
1390 steer 6014
1400 steer 6014
1410 steer 6014
1420 steer 6014
1430 steer 6014
1440 steer 6014
1450 steer 6014
1460 steer 6014
1470 steer 6014
1480 steer 6014
1490 steer 6014
1500 steer 6014
1510 steer 6014
1520 steer 6014
1530 steer 6014
1540 steer 6014
1550 steer 6014
1560 steer 6014
1570 steer 6014
1580 steer 6014
1590 steer 6014
1600 steer 6014
1610 steer 6014
1620 steer 6014
1630 steer 6014
1640 steer 6014
1650 steer 6014
1660 steer 6014
1670 steer 6014
1680 steer 6014
1690 steer 6014
1700 steer 6014
1710 steer 6014
1720 steer 6014
1730 steer 6014
1740 steer 6014
1750 steer 6014
1760 steer 6014
1770 steer 6014
1780 steer 6014
1790 steer 6014
1800 steer 6014
1810 steer 6014
1820 steer 6014
1830 steer 6014
1840 steer 6014
1850 steer 6014
1860 steer 6014
1870 steer 6014
1880 steer 6014
1890 steer 6014
1900 steer 6014
1910 steer 6014
1920 steer 0
1930 steer 0
1940 steer 0
1950 steer 0
1960 steer 0
1970 steer 0
1980 steer 0
1990 steer 0
2000 steer 0
2010 steer 0
2020 steer 0
2030 steer 0
2040 steer 0
2050 steer 0
2060 steer 0
2070 steer 0
2080 steer 0
2090 steer 0
2100 steer 0
2110 steer 0
2120 steer 0
2130 steer 0
2140 steer 0
2150 steer 0
2160 steer 0
2170 steer 0
2180 steer 0
2190 steer 0
2200 steer 0
2210 steer 3125
2220 steer 8903
2230 steer 10058
2240 steer 10636
2250 steer 10636
2260 steer 10636
2270 steer 4280
2280 steer 1969
2290 steer 0
2300 steer 0
2310 steer 0
2320 steer 0
2330 steer 0
2340 steer 0
2350 steer 0
2360 steer 0
2370 steer 0
2380 steer 0
2390 steer 0
2400 steer 0
2410 steer 0
2420 steer 0
2430 steer 0
2440 steer 0
2450 steer 0
2460 steer 0
2470 steer 0
2480 steer 0
2490 steer 0
2500 steer 0
2510 steer 0
2520 steer 0
2530 steer 0
2540 steer 0
2550 steer 0
2560 steer 0
2570 steer 0
2580 steer 0
2590 steer 0
2600 steer 0
2610 steer 0
2620 steer 0
2630 steer 0
2640 steer 0
2650 steer 0
2660 steer 0
2670 steer 0
2680 steer 0
2690 steer 0
2700 steer 0
