# Time: 14070, iterations: 76571
0-14380 press up
5420 steer -2711
5430 steer -6138
5440 steer -22701
5450 steer -32981
5450-5550 press down
5460 steer -38121
5470 steer -55255
5480 steer -65536
5490 steer -65536
5500 steer -65536
5510 steer -65536
5520 steer -65536
5530 steer -65536
5540 steer -65536
5550 steer -65536
5560 steer -65536
5570 steer -65536
5580 steer -65536
5590 steer -65536
5600 steer -65536
5610 steer -65536
5620 steer -65536
5630 steer -65536
5640 steer -65536
5650 steer -65536
5660 steer -65536
5670 steer -65536
5680 steer -65536
5690 steer -65536
5700 steer -65536
5710 steer -65536
5720 steer -65536
5730 steer -65536
5740 steer -65536
5750 steer -65536
5760 steer -65536
5770 steer -65536
5780 steer -65536
5790 steer -65536
5800 steer -65536
5810 steer -65536
5820 steer -65536
5830 steer -65536
5840 steer -65536
5850 steer -65536
5860 steer -65536
5870 steer -65536
5880 steer -65536
5890 steer -65536
5900 steer -65536
5910 steer -65536
5920 steer -65536
5930 steer -65536
5940 steer -65536
5950 steer -65536
5960 steer -65536
5970 steer -65536
5980 steer -65536
5990 steer -65536
6000 steer -65536
6010 steer -65536
6020 steer -65536
6030 steer -65536
6040 steer -65536
6050 steer -65536
6060 steer -65536
6070 steer -65536
6080 steer -65536
6090 steer -65536
6100 steer -65536
6110 steer -65536
6120 steer -65536
6130 steer -65536
6140 steer -65536
6150 steer -65536
6160 steer -65536
6170 steer -65536
6180 steer -65536
6190 steer -65536
6200 steer -65536
6210 steer -65536
6220 steer -65536
6230 steer -65536
6240 steer -65536
6250 steer -65536
6260 steer -65536
6270 steer -65536
6280 steer -65536
6290 steer -65536
6300 steer -65536
6310 steer -65536
6320 steer -65536
6330 steer -65536
6340 steer -65536
6350 steer -65536
6360 steer -65536
6370 steer -65536
6380 steer -65536
6390 steer -65536
6400 steer -65536
6410 steer -65536
6420 steer -65536
6430 steer -65536
6440 steer -65536
6450 steer -65536
6460 steer -65536
6470 steer -65536
6480 steer -65536
6490 steer -65536
6500 steer -65536
6510 steer -65536
6520 steer -65536
6530 steer -65536
6540 steer -65536
6550 steer -65536
6560 steer -65536
6570 steer -65536
6580 steer -65536
6590 steer -65536
6600 steer -65536
6610 steer -65536
6620 steer -65536
6630 steer -65536
6640 steer -65536
6650 steer -65536
6660 steer -65536
6670 steer -65536
6680 steer -65536
6690 steer -65536
6700 steer -65536
6710 steer -65536
6720 steer -65536
6730 steer -65536
6740 steer -65536
6750 steer -65536
6760 steer -65536
6770 steer -62680
6780 steer -59824
6790 steer -46117
6800 steer -40977
6810 steer -28412
6820 steer -17561
6830 steer -2140
6840 steer 0
6850 steer 0
6860 steer 0
6870 steer 0
6880 steer 0
6890 steer 0
6900 steer 0
6910 steer 0
6920 steer 0
6930 steer 0
6940 steer 0
6950 steer 0
6960 steer 0
6970 steer 0
6980 steer 0
6990 steer 0
7000 steer 0
7010 steer 0
7020 steer 0
7030 steer 0
7040 steer 0
7050 steer 0
7060 steer 0
7070 steer 0
7080 steer 0
7090 steer 0
7100 steer 0
7110 steer 0
7120 steer 0
7130 steer 0
7140 steer 0
7150 steer 0
7160 steer 0
7170 steer 0
7180 steer 0
7190 steer 0
7200 steer 0
7210 steer 0
7220 steer 0
7230 steer 0
7240 steer 0
7250 steer 0
7260 steer 0
7270 steer 0
7280 steer 0
7290 steer 0
7300 steer 0
7310 steer 0
7320 steer 0
7330 steer 0
7340 steer 0
7350 steer 0
7360 steer 0
7370 steer 0
7380 steer 0
7390 steer 0
7400 steer 0
7410 steer 0
7420 steer 0
7430 steer 0
7440 steer 0
7450 steer 0
7460 steer 0
7470 steer 0
7480 steer 0
7490 steer 0
7500 steer 0
7510 steer 0
7520 steer 0
7530 steer 0
7540 steer 0
7550 steer 0
7560 steer 0
7570 steer 0
7580 steer 0
7590 steer 0
7600 steer 0
7610 steer 0
7620 steer 0
7630 steer -3854
7640 steer -8994
7650 steer -13563
7660 steer -23272
7670 steer -27841
7680 steer -32981
7690 steer -40977
7700 steer -43833
7710 steer -44975
7720 steer -47259
7730 steer -47259
7740 steer -47259
7750 steer -47259
7760 steer -47259
7770 steer -47259
7780 steer -47259
7790 steer -47259
7800 steer -47259
7810 steer -46117
7820 steer -40406
7830 steer -39264
7840 steer -33552
7850 steer -28983
7860 steer -23843
7870 steer -15276
7880 steer -8994
7890 steer 0
7900 steer 0
7910 steer 0
7920 steer 0
7930 steer 0
7940 steer 0
7950 steer 0
7960 steer 0
7970 steer 0
7980 steer 0
7990 steer 0
8000 steer 0
8010 steer 0
8020 steer 0
8030 steer 0
8040 steer 0
8050 steer 0
8060 steer 0
8070 steer 0
8080 steer 0
8090 steer 0
8100 steer 0
8110 steer 0
8120 steer 0
8130 steer 0
8140 steer 0
8150 steer 0
8160 steer 0
8170 steer 0
8180 steer 0
8190 steer 0
8200 steer 0
8210 steer 0
8220 steer 0
8230 steer 0
8240 steer 0
8250 steer 0
8260 steer 0
8270 steer 0
8280 steer 0
8290 steer 0
8300 steer 0
8310 steer 0
8320 steer 0
8330 steer 0
8340 steer 0
8350 steer 0
8360 steer 0
8370 steer 0
8380 steer 0
8390 steer 0
8400 steer 0
8410 steer 0
8420 steer 0
8430 steer 0
8440 steer 0
8450 steer 0
8460 steer 0
8470 steer 0
8480 steer 0
8490 steer 0
8500 steer 0
8510 steer 0
8520 steer 0
8530 steer 0
8540 steer 0
8550 steer 0
8560 steer 0
8570 steer 0
8580 steer 0
8590 steer 0
8600 steer 0
8610 steer 0
8620 steer 0
8630 steer 0
8640 steer 0
8650 steer 0
8660 steer 0
8670 steer 0
8680 steer 0
8690 steer 0
8700 steer 0
8710 steer 0
8720 steer 0
8730 steer 0
8740 steer 0
8750 steer 0
8760 steer 0
8770 steer 0
8780 steer 0
8790 steer 0
8800 steer 0
8810 steer 0
8820 steer 0
8830 steer 0
8840 steer 0
8850 steer 0
8860 steer 0
8870 steer 0
8880 steer 0
8890 steer 0
8900 steer 0
8910 steer 0
8920 steer 0
8930-9040 press down
8930 steer 0
8940 steer 0
8950 steer 0
8960 steer 0
8970 steer 0
8980 steer 0
8990 steer 0
9000 steer 0
9010 steer 0
9020 steer 0
9030 steer 0
9040 steer 0
9050 steer 0
9060 steer 0
9070 steer 0
9080 steer 0
9090 steer 0
9100 steer 0
9110 steer 0
9120 steer 0
9130 steer 0
9140 steer 0
9150 steer 0
9160 steer 0
9170 steer 0
9180 steer 0
9190 steer 0
9200 steer 0
9210 steer 0
9220 steer 0
9230 steer 0
9240 steer 0
9250 steer 0
9260 steer 0
9270 steer 0
9280 steer 0
9290 steer 0
9300 steer 0
9310 steer 0
9320 steer 0
9330 steer 0
9340 steer 0
9350 steer 0
9360 steer 0
9370 steer 0
9380 steer 0
9390 steer 0
9400 steer 0
9410 steer 0
9420 steer 0
9430 steer 0
9440 steer 0
9450 steer 0
9460 steer 0
9470 steer 0
9480 steer 0
9490 steer 0
9500 steer 0
9510 steer 0
9520 press enter
9520 steer 0
9530 steer 0
9540 steer 0
9550 steer 0
9560 steer 0
9570 steer 0
9580 steer 0
9590 steer 0
9600 steer 0
9610 steer 0
9620 steer 0
9630 steer 0
9640 steer 3305
9650 steer 0
9660 steer 0
9670 steer 0
9680 steer 0
9690 steer 0
9700 steer 0
9710 steer 0
9720 steer 0
9730 steer 0
9740 steer 0
9750 steer 0
9760 steer 5765
9770 steer 0
9780 steer 0
9790 steer 0
9800 steer 0
9810 steer 0
9820 steer 0
9830 steer 0
9840 steer 0
9850 steer 0
9860 steer 0
9870 steer 0
9880 steer 0
9890 steer 0
9900 steer 0
9910 steer 0
9920 steer 0
9930 steer 0
9940 steer 0
9950 steer 3285
9960 steer 28985
9970 steer 40979
9980 steer 50117
9990 steer 59826
10000 steer 64967
10010 steer 65536
10020 steer 65536
10030 steer 65536
10040 steer 65536
10050 steer 65536
10060 steer 65536
10070 steer 65536
10080 steer 65536
10090 steer 65536
10100 steer 65536
10110 steer 65536
10120 steer 65536
10130 steer 65536
10140 steer 65536
10150 steer 65536
10160 steer 65536
10170 steer 65536
10180 steer 65536
10190 steer 65536
10200 steer 65536
10210 steer 65536
10220 steer 65536
10230 steer 65536
10240 steer 65536
10250 steer 65536
10260 steer 65536
10270 steer 61540
10280 steer 50688
10290 steer 27272
10300 steer 11852
10310 steer 5569
10320 steer 0
10330 steer 0
10340 steer 0
10350 steer 0
10360 steer 0
10370 steer 0
10380 steer -4996
10390 steer -12992
10400 steer -22130
10410 steer -27270
10420 steer -47221
10430 steer -56397
10440 steer -65536
10450 steer -65536
