# Time: 13220, iterations: 327446
0-7060 press up
6190 steer -65536
6200 steer -65536
6210 steer -65536
6220 steer -65536
6230 steer -65536
6240 steer -65536
6250 steer -65536
6260 steer -65536
6270 steer -65536
6280 steer -65536
6290 steer -65536
6300 steer -65536
6310 steer -65536
6320 steer -65536
6330 steer -65536
6340 steer -65536
6350 steer -65536
6360 steer -65536
6370 steer -65536
6380 steer -65536
6390 steer -65536
6400 steer -65536
6410 steer -65536
6420 steer -65536
6430 steer -65536
6440 steer -65536
6450 steer -65536
6460 steer -65536
6470 steer -65536
6480 steer -65536
6490 steer -65536
6500 steer -65536
6510 steer -65536
6520 steer -65536
6530 steer -65536
6540 steer -65536
6550 steer -65536
6560 steer -65536
6570 steer -65536
6580-11730 press down
6580 steer -65536
6590 steer -65536
6600 steer -65536
6610 steer -65536
6620 steer -65536
6630 steer -65536
6640 steer -65536
6650 steer -65536
6660 steer -65536
6670 steer -65536
6680 steer -65536
6690 steer -65536
6700 steer -65536
6710 steer -65536
6720 steer -65536
6730 steer -65536
6740 steer -65536
6750 steer -65536
6760 steer -65536
6770 steer -65536
6780 steer -65536
6790 steer -65536
6800 steer -65536
6810 steer -65536
6820 steer -65536
6830 steer -65536
6840 steer -65536
6850 steer -65536
6860 steer -65536
6870 steer -65536
6880 steer -65536
6890 steer -65536
6900 steer -65536
6910 steer -65536
6920 steer -65536
6930 steer -65536
6940 steer -65536
6950 steer -65536
6960 steer -65536
6970 steer -65536
6980 steer -65536
6990 steer -65536
7000 steer -65536
7010 steer -65536
7020 steer -65536
7030 steer -63972
7040 steer -65536
7050 steer -65536
7060 steer -65536
7070 steer 0
7080 steer 0
7090 steer 0
7100 steer 0
7110 steer 0
7120 steer 0
7130 steer 0
7140 steer 0
7150 steer 0
7160 steer -65536
7170 steer -65536
7180 steer -65536
7190 steer -65536
7200 steer -65536
7210 steer -65536
7220 steer -63449
7230 steer -65536
7240 steer -65536
7250 steer -65536
7260 steer -65536
7270 steer -65536
7280 steer -65536
7290 steer -65536
7300-13290 press up
7300 steer -65536
7310 steer -65536
7320 steer -65536
7330 steer -65536
7340 steer -65536
7350 steer -65536
7360 steer -65536
7370 steer -65536
7380 steer -65536
7390 steer -65536
7400 steer -65536
7410 steer -65536
7420 steer -64615
7430 steer -65536
7440 steer -65536
7450 steer -65536
7460 steer -65536
7470 steer -65536
7480 steer -65536
7490 steer -65536
7500 steer -65536
7510 steer -65536
7520 steer -65536
7530 steer -65536
7540 steer -65536
7550 steer -65536
7560 steer -65536
7570 steer -63784
7580 steer -65536
7590 steer -65536
7600 steer -65536
7610 steer -65536
7620 steer -65536
7630 steer -65536
7640 steer -65536
7650 steer -65536
7660 steer -65536
7670 steer -62950
7680 steer -65536
7690 steer -65536
7700 steer -65536
7710 steer -65536
7720 steer -65536
7730 steer -65536
7740 steer -65536
7750 steer -65536
7760 steer -65536
7770 steer -65536
7780-7820 press left
8070 steer -64846
8080 steer -64846
8090 steer -64846
8100 steer -64846
8110 steer -64846
8120 steer -64846
8130 steer -64846
8140 steer -64846
8150 steer -64846
8160 steer -64846
8170 steer 0
8180 steer 0
8190 steer 0
8200 steer 0
8210-8230 press left
8240 steer -48585
8250 steer 0
8260 steer 0
8270 steer 0
8280 steer 0
8290 steer 0
8300 steer 0
8310 steer 0
8320 steer 0
8330 steer 0
8340 steer 0
8350 steer 0
8360 steer 0
8370 steer -61766
8380 steer -61766
8390 steer -61766
8400 steer -57608
8410 steer 0
8420 steer 0
8430 steer 0
8440 steer 0
8450 steer 0
8460 steer 0
8470 steer 0
8480-8530 press left
8660-8680 press left
9010-9420 press right
9710 steer -54708
9720 steer -54708
9730 steer -54708
9740 steer -54708
9750 steer -54708
9760 steer -54708
9770 steer -54708
9780 steer -54708
9790 steer -54708
9800 steer -54708
9810 steer -54708
9820 steer -54708
9830 steer -54708
9840 steer -51372
9850 steer -54708
9860 steer -54708
9870 steer -54708
9880 steer -54708
9890 steer -54708
9900 steer -54708
9910 steer -54708
9920 steer -54708
9930 steer -54708
9940 steer -54708
9950 steer -54708
9960 steer -54708
9970 steer -54708
9980 steer -54708
9990 steer -54708
10000 steer -54708
10010 steer -54708
10020 steer -54708
10030 steer -54708
10040 steer -54708
10050 steer -54708
10060 steer -54708
10070 steer -54708
10080 steer -54708
10090 steer -57120
10100 steer -54708
10110 steer -36321
10120 steer -54708
10130 steer -58001
10140 steer -54708
10150 steer -54708
10160 steer -54708
10170 steer -54708
10180 steer -54708
10190 steer -54708
10200 steer -54708
10210 steer -54708
10220 steer -55140
10230 steer -54708
10240 steer -54708
10250 steer -54708
10260 steer -54708
10270 steer -54708
10280 steer 0
10290 steer 0
10300 steer 0
10310 steer 0
10320 steer 0
10330 steer 0
10340 steer 0
10350 steer 0
10360 steer 0
10370 steer 14659
10380 steer -2928
10390 steer 0
10400 steer 0
10410 steer 0
10420 steer 0
10430 steer 0
10440 steer 0
10450 steer 0
10460 steer 0
10470 steer 0
10480 steer 0
10490 steer 0
10500 steer 0
10510 steer 0
10520 steer 0
10530 steer 0
10540 steer 0
10550 steer 0
10560 steer 0
10570 steer 0
10580 steer 0
10590 steer 0
10600 steer 0
10610 steer 0
10620 steer 0
10630 steer 0
10640 steer 0
10650 steer 0
10660 steer 0
10670 steer 0
10680 steer 0
10690 steer 8868
10700 steer -730
10710 steer -14016
10720 steer 0
10730 steer 12875
10740 steer 1343
10750 steer -11133
10760 steer 0
10770 steer -1183
10780 steer 10543
10790 steer -2983
10800 steer 0
10810 steer 0
10820 steer 0
10830 steer 0
10840 steer 0
10850 steer 0
10860 steer 0
10870 steer 0
10880 steer 0
10890 steer 3963
10900 steer 0
10910 steer 0
10920 steer 0
10930 steer 0
10940 steer 0
10950 steer 0
10960 steer 0
10970 steer 0
10980 steer 0
10990 steer 0
11000 steer 2763
11010 steer 0
11020 steer 0
11030 steer 17036
11040 steer -15231
11050 steer -15231
11060 steer -15231
11070 steer 18316
11080 steer 0
11090 steer 0
11100 steer 0
11110 steer 0
11120 steer 0
11130 steer 0
11140 steer 0
11150 steer 0
11160 steer 0
11170 steer 0
11180 steer -14133
11190 steer 0
11200 steer 0
11210 steer 10683
11220 steer 0
11230 steer -1286
11240 steer -18156
11250 steer 0
11260 steer 0
11270 steer 0
11280 steer -19992
11290 steer 0
11300 steer 0
11310 steer 0
11320 steer 0
11330 steer 0
11340 steer 0
11350 steer 2642
11360 steer 0
11370 steer 0
11380 steer 0
11390 steer 0
11400 steer 0
11410 steer 0
11420 steer 0
11430 steer 0
11440 steer -13563
11450 steer -14072
11460 steer -30622
11470 steer -17805
11480 steer -19181
11490 steer -20252
11500 steer -21503
11510 steer -20796
11520 steer -11253
11530 steer -14698
11540 steer -12981
11550 steer -11547
11560 steer -10336
11570 steer -9336
11580 steer -8592
