# Time: 25290
0-14700 press up
1740 steer 747
1750 steer 1894
1760 steer 4187
1770 steer 4760
1780 steer 5334
1790 steer 5907
1840 steer 5334
1850 steer 4760
1860 steer 3614
1870 steer 3040
1910 steer 3614
1920 steer 6480
1930 steer 11067
1950 steer 16801
1960 steer 17374
1980 steer 16801
1990 steer 15654
2000 steer 12214
2010 steer 8774
2020 steer 6480
2030 steer 4187
2040 steer 3040
2090 steer 3614
2100 steer 5334
2110 steer 9920
2120 steer 13361
2130 steer 15654
2170 steer 15081
2180 steer 11067
2200 steer 0
2300 steer 4187
2310 steer 12214
2320 steer 17374
2330 steer 20814
2340 steer 21387
2370 steer 18521
2380 steer 13934
2390 steer 9347
2400 steer 4187
2410 steer 0
2510 steer 747
2520 steer 3614
2530 steer 9347
2540 steer 14507
2550 steer 18521
2560 steer 19667
2590 steer 19094
2600 steer 15654
2610 steer 10494
2620 steer 6480
2630 steer 1320
2640 steer 0
2730 steer 5334
2740 steer 9347
2750 steer 13361
2760 steer 16801
2770 steer 17947
2810 steer 15081
2820 steer 10494
2840 steer 747
2850 steer 0
2900 steer 747
2910 steer 5334
2920 steer 12787
2930 steer 21387
2940 steer 28268
2950 steer 34001
2960 steer 36868
2970 steer 38588
2980 steer 39161
2990 steer 39735
3000 steer 40881
3010 steer 42601
3020 steer 46615
3030 steer 51775
3040 steer 55789
3050 steer 58082
3060 steer 58655
3140 steer 58082
3150 steer 57509
3160 steer 55215
3170 steer 50055
3180 steer 42601
3190 steer 33428
3200 steer 22534
3210 steer 15654
3220 steer 8774
3230 steer 4187
3240 steer 747
3250 steer 0
3380 steer -742
3390 steer -3609
3400 steer -8769
3410 steer -14503
3420 steer -22530
3430 steer -29983
3440 steer -39730
3450 steer -47757
3460 steer -53491
3480 steer -62091
3490 steer -65533
3550 steer -62091
3560 steer -54637
3570 steer -43170
3580 steer -34570
3590 steer -27117
3600 steer -25970
3620 steer -27117
3630 steer -30557
3640 steer -39730
3650 steer -48904
3660 steer -56931
3670 steer -62664
3680 steer -64384
3690 steer -65533
3720 steer -64958
3730 steer -61518
3740 steer -51771
3750 steer -40877
3760 steer -27117
3770 steer -13929
3780 steer -8769
3790 steer -5329
3800 steer -4183
3810 steer -3036
3820 steer -1889
3840 steer 0
3940 steer -4183
3950 steer -6476
3960 steer -8769
3980 steer -13356
3990 steer -19090
4000 steer -25396
4010 steer -36864
4020 steer -48331
4030 steer -59224
4040 steer -65533
4230 steer -43170
4240 steer -28263
4250 steer -18516
4260 steer -8769
4270 steer -1889
4280 steer 0
4390 steer 2467
4400 steer 6480
4410 steer 12214
4420 steer 16801
4430 steer 20814
4440 steer 21961
4480 steer 17947
4490 steer 13934
4500 steer 8200
4510 steer 3040
4520 steer 0
4790 steer 2467
4800 steer 12214
4810 steer 22534
4820 steer 28268
4840 steer 29988
4850 steer 26548
4860 steer 21387
4870 steer 16227
4880 steer 11067
4890 steer 7627
4900 steer 5334
4910 steer 4760
5040 steer 3614
5050 steer 1894
5060 steer 0
5200 steer -2462
5210 steer -5329
5230 steer -13929
5240 steer -15650
5250 steer -16796
5290 steer -16223
5300 steer -15076
5310 steer -12783
5320 steer -7049
5340 steer 0
5540 steer 747
5550 steer 4760
5560 steer 6480
5580 steer 7054
5590 steer 5907
5600 steer 0
5860 steer -2462
5870 steer -7623
5880 steer -12783
5890 steer -19090
5900 steer -23103
5910 steer -25396
5920 steer -26543
5960 steer -25396
5980 steer -14503
5990 steer -4183
6010 steer 0
6300 steer 1894
6310 steer 5907
6320 steer 11067
6330 steer 18521
6340 steer 28841
6350 steer 34001
6370 steer 40881
6380 steer 41455
6390 steer 44322
6400 steer 48335
6410 steer 56935
6420 steer 65536
6490 steer 63815
6500 steer 59802
6510 steer 56362
6520 steer 55215
6540 steer 56362
6550 steer 59229
6560 steer 63242
6570 steer 64962
6580 steer 65536
6630 steer 60949
6640 steer 54068
6650 steer 46615
6660 steer 35148
6670 steer 26548
6680 steer 17947
6700 steer 9920
6710 steer 8774
6730 steer 9347
6730-6810 press down
6740 steer 11641
6760 steer 17947
6770 steer 18521
6800 steer 17947
6810 steer 12214
6820 steer 7054
6830 steer 1894
6840 steer 0
6870 steer 4187
6880 steer 12787
6890 steer 21387
6900 steer 31708
6910 steer 37441
6920 steer 39161
6940 steer 36868
6950 steer 30561
6960 steer 20814
6970 steer 12787
6980 steer 3614
6990 steer 0
7030 steer -742
7040 steer -1316
7050 steer -1889
7060 steer -1316
7070 steer 0
7100 steer 6480
7110 steer 19667
7120 steer 29414
7130 steer 36868
7140 steer 39735
7150 steer 41455
7230 steer 31134
7240 steer 19667
7260 steer 0
7340 steer 3614
7350 steer 15654
7360 steer 29988
7370 steer 43175
7380 steer 53495
7390 steer 58655
7400 steer 61522
7420 steer 62095
7450 steer 62669
7460 steer 63242
7480 steer 65536
7650 steer 58655
7660 steer 51775
7670 steer 40881
7680 steer 28841
7700 steer 747
7710 steer 0
7720 steer -1316
7730 steer -3609
7740 steer -5903
7760 steer -7623
7770 steer -7049
7780 steer -5329
7790 steer 0
7800 steer 747
7810 steer 11067
7820 steer 25401
7830 steer 35148
7840 steer 43748
7850 steer 50055
7860 steer 53495
7870 steer 56362
7880 steer 58082
7890 steer 59802
7900 steer 63242
7910 steer 65536
8220 steer 56362
8230 steer 32855
8240 steer 0
8250 steer -6476
8260 steer -17943
8270 steer -29410
8280 steer -31703
8290 steer -32277
8300 steer -30557
8310 steer -21956
8320 steer -1889
8330 steer 1894
8340 steer 24828
8350 steer 42601
8360 steer 62669
8370 steer 65536
9390-12780 press down
13120 steer 43748
13130 steer 32855
13140 steer 22534
13150 steer 16227
13160 steer 9347
13170 steer 5907
13180 steer 5334
13190 steer 4760
13200 steer 5907
13210 steer 9347
13220 steer 15654
13230 steer 24254
13240 steer 36295
13250 steer 46615
13260 steer 57509
13270 steer 62095
13280 steer 63815
13300 steer 62095
13310 steer 56362
13320 steer 49482
13330 steer 39161
13340 steer 28841
13350 steer 20241
13360 steer 10494
13370 steer 3040
13380 steer 0
13460 steer 5334
13470 steer 15654
13480 steer 32281
13490 steer 46042
13500 steer 52348
13510 steer 55789
13530 steer 54068
13540 steer 51202
13550 steer 46042
13560 steer 39161
13570 steer 32281
13590 steer 8200
13600 steer 0
13620 steer -8196
13630 steer -12783
13640 steer -14503
13670 steer -12209
13680 steer 0
13700 steer 13934
13710 steer 29988
13720 steer 39161
13730 steer 46042
13740 steer 47188
13750 steer 46042
13760 steer 42028
13770 steer 36868
13780 steer 28268
13790 steer 20814
13800 steer 9347
13810 steer 0
13840 steer -25970
13850 steer -36864
13860 steer -43744
13870 steer -48331
13880 steer -51197
13890 steer -51771
13920 steer -51197
13930 steer -50624
13950 steer -51197
13980 steer -48904
13990 steer -43170
14000 steer -27690
14010 steer -7049
14020 steer 0
14030 steer 16801
14040 steer 24254
14060 steer 27694
14070 steer 24828
14090 steer 15081
14100 steer 9920
14120 steer 5334
14130 steer 4187
14140 steer 0
14170 steer -7623
14180 steer -17943
14200 steer -28263
14210 steer -31130
14230 steer -36290
14240 steer -40304
14250 steer -46610
14260 steer -49477
14270 steer -52344
14290 steer -48904
14310 steer -25396
14320 steer -5903
14330 steer 0
14340 steer 9347
14350 steer 11641
14360 steer 11067
14370 steer 3614
14380 steer 0
14390 steer -7049
14400 steer -23676
14410 steer -33423
14420 steer -43744
14430 steer -48331
14440 steer -51197
14450 steer -53491
14460 steer -54064
14490 steer -52344
14500 steer -50624
14510 steer -48904
14570 steer -47184
14590 steer -35717
14600 steer -25970
14610 steer -15076
14620 steer -2462
14630 steer 0
14730 steer 2467
14760 steer 0
14780 steer -4756
14790 steer -11636
14800 steer -17370
14810 steer -20810
14820 steer -26543
14840 steer -34570
14850 steer -36864
14870 steer -39730
14900 steer -40304
14910 steer -40877
14920 steer -43170
14930 steer -44890
14930-15120 press up
14950 steer -49477
14960 steer -51197
14970 steer -51771
14980 steer -52344
15020 steer -54064
15030 steer -55211
15040 steer -56931
15060 steer -59224
15090 steer -59798
15120 steer -60371
15140 steer -59798
15150 steer -59224
15160 steer -56931
15170 steer -53491
15180 steer -49477
15200 steer -38584
15210 steer -33423
15220 steer -28263
15230 steer -24823
15240 steer -22530
15250 steer -20810
15260 steer -19663
15280 steer -19090
15310 steer -19663
15320 steer -22530
15330 steer -26543
15340 steer -31130
15350 steer -34570
15370 steer -40304
15380 steer -42597
15390 steer -44317
15400 steer -44890
15410 steer -45464
15450 steer -44890
15460 steer -42597
15470 steer -38010
15480 steer -32850
15490 steer -26543
15500 steer -21956
15510 steer -17370
15520 steer -15650
15530 steer -15076
15560 steer -14503
15600-15680 press up
15640 steer -15076
15670 steer -15650
15680 steer -16223
15700 steer -16796
15800 steer -16223
15830 steer -15650
15840 steer -15076
15950 steer -14503
15960-16240 press up
16110 steer -13929
16120 steer -13356
16460 steer -12783
16460-16660 press up
16470 steer -11063
16480 steer -9916
16500 steer -9343
16510 steer -8769
16520 steer -8196
16530 steer -7623
16540 steer -7049
16560 steer -6476
16650 steer -7049
16660 steer -7623
16670 steer -8769
16680 steer -9916
16700 steer -11063
16770 steer -11636
16800 steer -12783
16810 steer -13356
16820 steer -16796
16830 steer -21956
16840 steer -27690
16850 steer -33997
16870 steer -40877
16880 steer -42024
16890 steer -42597
16900 steer -44317
16910 steer -46037
16920 steer -49477
16930 steer -52917
16940 steer -56931
16950 steer -60371
16960 steer -62664
16970 steer -64384
16980 steer -64958
16990 steer -65533
17120 steer -64958
17130 steer -62664
17140 steer -59224
17150 steer -54064
17160 steer -48904
17170 steer -42024
17180 steer -37437
17190 steer -32850
17200 steer -29983
17210 steer -27690
17220 steer -25396
17230 steer -23676
17240 steer -21956
17260 steer -19663
17270 steer -19090
17280 steer -19663
17300 steer -20810
17310 steer -24250
17320 steer -27690
17340 steer -31130
17350 steer -31703
17360 steer -31130
17370 steer -31703
17390 steer -33423
17400 steer -35143
17410 steer -37437
17420 steer -38584
17430 steer -39157
17450 steer -38584
17460 steer -37437
17470 steer -36864
17480 steer -36290
17490 steer -36864
17500 steer -38584
17510 steer -42024
17520 steer -44890
17530 steer -46037
17540 steer -47184
17550 steer -47757
17560 steer -48331
17570 steer -51771
17590 steer -60371
17600 steer -62664
17620 steer -65533
17810-18900 press up
17830 steer -63238
17840 steer -58651
17850 steer -54064
17870 steer -39730
17880 steer -28837
17890 steer -19663
17900 steer -15076
17910 steer -11636
17920 steer -9343
17930 steer -7049
17940 steer -4756
17950 steer -3609
17960 steer -3036
17970 steer -2462
18000 steer -3036
18010 steer -7049
18020 steer -11636
18030 steer -17370
18040 steer -21956
18050 steer -25970
18060 steer -29983
18070 steer -32850
18080 steer -36864
18090 steer -42024
18100 steer -48331
18120 steer -59224
18130 steer -63811
18140 steer -65533
18350-18780 press down
18640-18740 press right
18790-19150 press left
19160-19390 press right
19200-25320 press up
19520-19550 press left
19580-19640 press left
19800-19890 press right
20220-20230 press left
20350-20400 press left
20790-20820 press right
21050-21090 press right
21370-21400 press left
22010-22030 press left
23520 steer -60224
23590 steer 5154
24450-24490 press down
