0-1460 press up
1510-1660 press down
2100-11640 press up
2200-2280 press down
2620 steer -5987
2630 steer -16645
2640 steer -21463
2650 steer -31866
2660 steer -37555
2670 steer -42628
2680 steer -47035
2690 steer -55900
2700 steer -61126
2710 steer -65124
2720 steer -65536
2790 steer -64458
2800 steer -52877
2810 steer -40835
2820 steer -22385
2830 steer -11829
2840 steer -1325
2850 steer -50326
2860 steer 0
2900 steer 3267
2910 steer 14034
2920 steer 26763
2930 steer 38257
2940 steer 49533
2950 steer 65536
3250 steer 55353
3260 steer 41239
3270 steer 24436
3280 steer 7923
3290 steer 0
3330 steer 47551
3340 steer -709
3350 steer -6140
3360 steer -13212
3370 steer -20336
3380 steer -33097
3390 steer -39246
3400 steer -44933
3410 steer -56566
3420 steer -65536
3640 steer -62973
3650 steer -52057
3660 steer -35299
3670 steer -26230
3680 steer -16954
3690 steer -1529
3700 steer 0
3770 steer 1376
3780 steer 36319
3790 steer 21163
3800 steer 28945
3810 steer 43495
3820 steer 50188
3830 steer 56880
3840 steer 64444
3850 steer 65536
4060 steer 56153
4070 steer 44877
4080 steer 32728
4090 steer 18690
4100 steer 8067
4120 steer 8140
4150 steer 11705
4160 steer 13743
4170 steer 15196
4180 steer 15707
4190 steer 15778
4220 steer 10396
4230 steer 4214
4240 steer 0
4250 steer -58269
4260 steer -48861
4270 steer 0
4290 steer -65536
4520 steer -64869
4530 steer -60922
4540 steer -39348
4550 steer -29714
4560 steer -19105
4570 steer -9727
4580 steer 0
4640 steer 7705
4650 steer 36292
4660 steer 52806
4670 steer 39131
4680 steer 65536
4710 steer 46437
4720 steer 65536
4790 steer 55751
4800 steer 65536
4840 steer 38775
4850 steer 0
4920 steer 65536
4950 steer 41293
4960 steer 65536
5030 steer 33992
5040 steer 65536
5300 steer -43277
5310 steer -65536
5330 steer -1837
5340 steer -65536
5370 steer -8423
5380 steer -65536
5390 steer -48354
5400 steer -65536
5420 steer -31484
5430 steer -52215
5440 steer -65536
5450 steer -5834
5460 steer -16801
5470 steer -50315
5480 steer -65536
5490 steer -19433
5500 steer -65536
5610 steer -7020
5620 steer -65536
5850 steer -17392
5860 steer -65536
5930 steer -22635
5940 steer -65536
6020 steer -30061
6030 steer -65536
6100 steer 0
6170 steer -13418
6180 steer -20672
6190 steer -65536
6230-6310 press down
6390-6520 press down
6560-7070 press down
8110 steer -61050
8120 steer -65536
8280 steer 0
8320 steer 41747
8330 steer 0
8440 steer -31595
8450 steer -51539
8460 steer 35669
8470 steer 65536
8810 steer 27839
8820 steer 65536
8830 steer 60562
8840 steer 48834
8850 steer 65536
8930 steer -65536
8980 steer -50220
8990 steer -65536
9110 steer -37394
9120 steer -65536
9130 steer 18278
9140 steer -65536
9170 steer -63223
9180 steer -65536
9190 steer -60065
9200 steer -65536
9340 steer -29840
9350 steer -65536
9390 steer -7766
9400 steer -65536
9470 steer -62149
9480 steer -65536
9490 steer -62002
9500 steer 65536
9580 steer 53200
9590 steer 65536
9610 steer 24716
9620 steer 65536
9650 steer 52285
9660 steer 65536
9780 steer 23920
9790 steer 65536
9810 steer 54643
9820 steer 65536
9870 steer 19451
9880 steer 65536
9910 steer 49333
9920 steer 65536
9950 steer 52858
9960 steer 11929
9970 steer 65536
9990 steer 12887
10000 steer 65536
10500 steer 0
10650 steer 35207
10660 steer 0
10670 steer 4433
10680 steer 0
10880 steer 2029
10890 steer 7632
10900 steer 21016
10910 steer 29819
10920 steer 39495
10930 steer 50406
10940 steer 61318
10950 steer 65536
11050 steer 62262
11060 steer 49824
11070 steer 17743
11080 steer 794
11090 steer 0
