# Time: 8530, iterations: 25117
0-8580 press up
20 steer -1733
30 steer -2256
40 steer -2779
50 steer -4871
60 steer -6440
70 steer -7486
130 steer -8009
140 steer -10101
150 steer -12193
160 steer -13761
170 steer -15330
190 steer -15853
210 steer -15330
240 steer -15853
250 steer -16376
260 steer -17422
270 steer -17945
280 steer -18468
300 steer -17945
310 steer -18468
320 steer -17945
340 steer -18468
350 steer -19514
360 steer -20560
370 steer -21606
380 steer -22129
400 steer -22652
420 steer -22129
460 steer -22652
520 steer -22129
560 steer -22652
570 steer -22129
590 steer -22652
610 steer -22129
620 steer -22652
640 steer -22129
690 steer -22652
740 steer -22129
770 steer -22652
790 steer -23175
800 steer -23698
810 steer -24221
830 steer -25267
850 steer -25790
860 steer -25267
870 steer -25790
940 steer -27359
950 steer -28405
980 steer -27882
990 steer -28405
1030 steer -29974
1040 steer -31019
1060 steer -32065
1080 steer -32588
1090 steer -32065
1120 steer -32588
1200 steer -33111
1210 steer -32588
1260 steer -33111
1270 steer -33634
1280 steer -34157
1300 steer -34680
1310 steer -34157
1320 steer -34680
1390 steer -34157
1460 steer -34680
1480 steer -34157
1530 steer -34680
1540 steer -34157
1570 steer -34680
1620 steer -34157
1640 steer -34680
1760 steer -35203
1780 steer -36249
1790 steer -37295
1800 steer -38341
1810 steer -38864
1820 steer -40433
1830 steer -41479
1840 steer -42002
1850 steer -42525
1930 steer -43048
1950 steer -43571
1960 steer -43048
1970 steer -43571
2000 steer -43048
2010 steer -42525
2020 steer -41479
2030 steer -39387
2040 steer -37818
2060 steer -37295
2070 steer -36772
2090 steer -35203
2100 steer -33111
2110 steer -29451
2120 steer -26836
2130 steer -24221
2140 steer -18468
2150 steer -16376
2160 steer -14284
2170 steer -11147
2180 steer -9578
2190 steer -9055
2200 steer -8009
2210 steer -7486
2290 steer -6440
2300 steer -5394
2320 steer -4871
2340 steer -4348
2350 steer -4871
2360 steer -4348
2370 steer -2779
2380 steer -2256
2390 steer -1210
2400 steer -687
3220 steer -1210
3230 steer -1733
3250 steer -2256
3260 steer -1733
3340 steer -2256
3350 steer -1733
3360 steer -2256
3380 steer -1733
3400 steer -2256
3410 steer -5917
3420 steer -8009
3430 steer -9578
3440 steer -11147
3450 steer -12715
3460 steer -15853
3470 steer -16899
3480 steer -18991
3490 steer -19514
3570 steer -18991
3700 steer -18468
3710 steer -18991
3740 steer -18468
3750 steer -18991
3760 steer -20037
3770 steer -22652
3780 steer -23175
3790 steer -23698
3860 steer -24221
3870 steer -25267
3880 steer -28928
3890 steer -29974
3900 steer -30496
3950 steer -32065
3960 steer -33634
3970 steer -35726
3980 steer -36249
3990 steer -36772
4020 steer -37295
4030 steer -36772
4040 steer -37295
4090 steer -36772
4110 steer -37295
4140 steer -37818
4150 steer -39387
4160 steer -40956
4170 steer -41479
4180 steer -42002
4190 steer -41479
4230 steer -40956
4240 steer -39387
4250 steer -37295
4260 steer -36249
4270 steer -35203
4290 steer -34157
4320 steer -34680
4380 steer -34157
4390 steer -32588
4400 steer -30496
4410 steer -25790
4420 steer -23698
4430 steer -21083
4440 steer -19514
4450 steer -18468
4460 steer -17422
4470 steer -16376
4480 steer -15853
4530 steer -15330
4550 steer -15853
4560 steer -15330
4570 steer -15853
4630 steer -15330
4660 steer -15853
4690 steer -16899
4700 steer -17945
4710 steer -18991
4720 steer -19514
4730 steer -20560
4740 steer -24221
4750 steer -26313
4760 steer -28928
4770 steer -34680
4780 steer -37818
4790 steer -40433
4800 steer -46709
4810 steer -51938
4820 steer -55076
4830 steer -60306
4840 steer -63444
4850 steer -65536
5350 steer 1257
5360 steer 2319
5370 steer 3913
5380 steer 18120
5390 steer 43757
5400 steer 61820
5400-5480 press down
5410 steer 65536
5420 steer -52859
5430 steer -65536
5440 steer -51938
5450 steer -65536
5460 steer 42249
5470 steer 33132
5480 steer 4446
5490 steer 0
5500 steer -37818
5510 steer -56645
5520 steer -61352
5530 steer -60829
5540 steer -65013
5560 steer 0
5570 steer -687
5580 steer -1733
5590 steer -10624
5600 steer -20037
5610 steer -33634
5620 steer -47755
5630 steer -65536
5640 steer -15330
5650 steer -24221
5660 steer -43346
5670 steer -57168
5680 steer -65536
5690 steer 1788
5700 steer 4446
5710 steer 16133
5720 steer 26758
5730 steer 44819
5740 steer 55444
5750 steer -65536
5760 steer -59837
5770 steer -58214
5780 steer -49116
5790 steer -50579
5800 steer -38864
5810 steer -33634
5820 steer -28405
5830 steer -19514
5840 steer -10101
5850 steer -2256
5860 steer 726
5870 steer -760
5880 steer 3382
5890 steer -63042
5900 steer 8695
5910 steer 15602
5920 steer 26225
5930 steer 38445
5940 steer 46412
5950 steer 58100
5960 steer 65006
5970 steer 65536
5980 steer -58581
5990 steer -51938
6000 steer -43571
6010 steer -37800
6020 steer -36395
6030 steer -33111
6050 steer 726
6060 steer 1257
6070 steer 1862
6080 steer -1330
6090 steer 7102
6100 steer 2851
6120 steer 3913
6130 steer 7680
6140 steer 10289
6150 steer 17195
6160 steer 26758
6170 steer 45350
6180 steer 58100
6190 steer 65536
6230 steer 1788
6240 steer 3382
6250 steer 6039
6260 steer 11882
6270 steer 18258
6270-6580 press down
6280 steer 32069
6290 steer 45905
6300 steer 49070
6310 steer 58631
6320 steer 65536
6390 steer 63413
6420 steer 60414
6430 steer 64121
6700 steer 63256
6710 steer 63032
6760 steer 2407
6770 steer 23848
6780 steer 26261
6790 steer 50971
6800 steer 65536
6810 steer 64822
6820 steer 65536
6830 steer 35308
6840 steer -4100
6850 steer 0
6860 steer 2155
6870 steer 0
6900 steer 948
6910 steer 4223
6940 steer -2387
6950 steer 0
6980 steer 19734
6990 steer 46955
7000 steer 47653
7010 steer 48428
7030 steer 46733
7040 steer 0
7200 steer 15483
7210 steer 33448
7220 steer 53675
7230 steer 65536
7270 steer 61634
7280 steer 63840
7290 steer 65536
7300 steer 64539
7310 steer 65536
7400 steer -65536
