0-6840 press up
540 steer 65536
670 steer 0
1760 steer -65536
1820 steer 0
2260 steer -65536
2310 steer 0
3270 steer -65536
3510 steer 0
3890 steer -65536
4060 steer 0
4130 steer 64265
4140 steer 0
4230 steer 65536
4260 steer -7093
4260-4350 press down
4270 steer 65536
4420 steer 56534
4430 steer 65536
4460 steer 21252
4470 steer 65536
4550 steer 30205
4560 steer 65536
4750 steer 63910
4760 steer 65536
4820 steer 51423
4830 steer 65536
4860 steer 12899
4870 steer 65536
4890 steer 20608
4900 steer 65536
5080 steer 22856
5090 steer 65536
5110 steer 3738
5110-5210 press down
5120 steer 65536
5140 steer 6857
5150 steer 65536
5270 steer 0
5370 steer -65536
5530 steer -44483
5540 steer -65536
5750 steer -62862
5760 steer -65536
5790 steer -5646
5800 steer -65536
5900 steer -28260
5910 steer -65536
6070 steer 0
6080 steer 65536
6090 steer 15149
6100 steer 65536
6340 steer 31348
6350 steer 65536
6360 steer -14694
6370 steer 65536
6540 steer 25613
6550 steer 65536
6960 steer 29482
6970 steer 65536
6990 steer 42591
7000 steer 65536
7010 steer 26475
7020 steer 65536
7040-17590 press up
7170 steer 57830
7180 steer 65536
7200 steer 39385
7210 steer 32987
7220 steer 30186
7230 steer 65536
7240 steer 16058
7250 steer 65536
7300 steer 46165
7310 steer 65536
7380 steer 9146
7390 steer 65536
7560 steer 5816
7570 steer 65536
7600 steer 33383
7620 steer 65536
7860 steer 7671
7870 steer 65536
7880 steer 16755
7890 steer 65536
7910 steer -6554
7920 steer 65536
7960 steer 40571
7970 steer 65536
7980 steer 57256
7990 steer 65536
8010 steer 0
8050 steer 31189
8060 steer 0
8130 steer 55388
8140 steer 0
8170 steer 49534
8180 steer 0
8210 steer 61806
8220 steer 0
8270 steer -29949
8280 steer 0
8370 steer -43582
8380 steer -22204
8390 steer -45865
8400 steer 0
8420 steer -1631
8430 steer -11881
8440 steer -29303
8450 steer -31091
8460 steer -47697
8470 steer -65536
8520-8650 press down
8570 steer -52182
8580 steer -17744
8590 steer -65536
8640 steer -48453
8650 steer -65536
8740-9760 press down
8750 steer 440
8760 steer 27182
8770 steer -22436
8780 steer 0
8790 steer 20143
8800 steer 65536
8920 steer -17259
8930 steer 65536
8950 steer 50697
8960 steer 65536
9170 steer -33591
9180 steer 65536
9210 steer -28566
9220 steer 65536
9280 steer -8231
9290 steer 65536
9310 steer 55037
9320 steer 65536
9380 steer 5752
9390 steer 65536
9510 steer -15106
9520 steer 65536
9800 steer 16404
9810 steer 65536
9830 steer 38052
9840 steer 65536
9960 steer 0
10260 steer -21184
10270 steer 0
10640 steer -65536
10820 steer -50972
10830 steer -65536
11120 steer 0
11900 steer 4214
11910 steer 15052
11920 steer 25599
11930 steer 45604
11940 steer 56153
11950 steer 63791
11960 steer 64009
11970 steer 64300
11980 steer 64444
11990 steer 64518
12000 steer 64735
12010 steer 65391
12020 steer 65536
12130 steer 63718
12140 steer 55206
12150 steer 44586
12160 steer 19781
12170 steer 7340
12180 steer 0
12220 steer -21577
12230 steer 0
12540 steer 46526
12550 steer 0
12630 steer 4649
12640 steer 65536
13000 steer 0
13350 steer 65536
13610 steer 0
13980 steer 6323
13990 steer 30692
14010 steer 65536
14310 steer 48225
14320 steer 65536
14370 steer 61730
14380 steer 65536
14390 steer 26387
14400 steer 65536
14430 steer 28514
14440 steer 65536
14850 steer -1529
14860 steer -12187
14870 steer -20234
14880 steer -29048
14890 steer -39399
14900 steer -64920
15570 steer -63931
15580 steer -64920
15810 steer -39960
15820 steer -64920
16060 steer -52823
16070 steer -64920
17010 steer -11070
17020 steer -64920
