# Time: 22170, iterations: 113
0-5080 press up
1630-1680 press right
2080-2160 press right
2440-2580 press right
2640-3100 press right
3770-5070 press right
5480-6090 press down
5500 steer 814
5510 steer 10636
5520 steer 19305
5530 steer 37799
5540 steer 37573
5550 steer 50513
5560 steer 57763
5570 steer 62649
5580 steer 65536
5970 steer 60915
5980 steer 47624
5990 steer 24534
6000 steer 8325
6010 steer 1391
6020 steer 0
6640 steer 6014
6650 steer 14683
6660 steer 26819
6670 steer 34908
6680 steer 47624
6690 steer 48779
6700 steer 53980
6710 steer 56291
6720 steer 56869
6740 steer 55135
6750 steer 40688
6760 steer 26241
6770 steer 11126
6770-7060 press down
6780 steer 0
6800 steer -15755
6810 steer -41073
6820 steer -58140
6830 steer -65536
7050 steer -62691
7060 steer -49606
7070 steer -40504
7080 steer -35383
7090 steer -12627
7100 steer 0
8050 steer -5231
8060 steer -19454
8070 steer -54157
8080 steer -65536
8100 steer 0
8130-8560 press down
8220 steer 814
8230 steer 3125
8240 steer 14511
8250 steer 24583
8260 steer 27974
8270 steer 33752
8280 steer 42421
8290 steer 53980
8300 steer 63804
8310 steer 65536
8570 steer 0
8720-14700 press up
9360 steer -1249
9370 steer -6938
9380 steer -12058
9390 steer -22299
9400 steer -24005
9410 steer -27419
9420 steer -29126
9430 steer -30263
9440 steer -31401
9450 steer -33108
9460 steer -32539
9480 steer -31401
9490 steer -25712
9500 steer -19454
9510 steer -11489
9520 steer 0
9690 steer 1969
9700 steer 3703
9720 steer 4858
9780 steer 1391
9790 steer 0
10200 steer 6591
10210 steer 10058
10220 steer 12949
10230 steer 14683
10260 steer 15261
10270 steer 14683
10320 steer 12372
10330 steer 8325
10340 steer 3125
10350 steer 0
10440 steer -4663
10450 steer -10352
10460 steer -13196
10470 steer -16610
10480 steer -22299
10490 steer -22868
10530 steer -22299
10540 steer -20023
10550 steer -15472
10560 steer -5800
10570 steer 0
10690 steer 2547
10700 steer 6591
10710 steer 7169
10720 steer 8325
10730 steer 8903
10780 steer 8325
10790 steer 3703
10800 steer 0
11110 steer -5231
11120 steer -6369
11130 steer -7507
11140 steer -8076
11160 steer -7507
11180 steer -3525
11190 steer 0
11860 steer 2547
11870 steer 16416
11880 steer 22194
11890 steer 25085
11900 steer 24508
11910 steer 16416
11920 steer 0
12180 steer 2547
12190 steer 7747
12200 steer 10058
12210 steer 12372
12220 steer 13527
12250 steer 9480
12260 steer 0
12320 steer -8076
12330 steer -33108
12340 steer -43348
12350 steer -49606
12370 steer -45055
12380 steer -31401
12390 steer -1249
12400 steer 0
12520 steer -6369
12530 steer -21699
12540 steer -46762
12550 steer -52451
12560 steer -54157
12570 steer -51882
12580 steer -41073
12590 steer -6369
12600 steer 0
12680 steer 3703
12690 steer 9480
12700 steer 15261
12710 steer 23930
12720 steer 30286
12730 steer 35488
12740 steer 40110
12750 steer 41266
12760 steer 41844
12780 steer 48706
12790 steer 47637
12800 steer 54557
12810 steer 58602
12820 steer 62054
12830 steer 63804
12840 steer 64960
12850 steer 65430
12920 steer 49357
12930 steer 19883
12940 steer -5231
12950 steer -35952
12960 steer -65536
13240-13280 press down
13280 steer -39366
13290 steer -9783
13300 steer 0
13380 steer 18727
13390 steer 37843
13400 steer 52246
13410 steer 61493
13420 steer 65536
13750 steer 62071
13760 steer 31441
13770 steer 17572
13780 steer 0
13830 steer -14334
13840 steer -26281
13850 steer -35383
13860 steer -42210
13870 steer -43348
13900 steer -32539
13910 steer -8076
13920 steer 0
14080 steer 10058
14150 steer 22194
14190 steer 33175
14220 steer 44733
14230 steer 60915
14240 steer 65536
14260 steer 49935
14270 steer 27397
14280 steer 0
14290 steer -680
14300 steer -11489
14310 steer -33677
14320 steer -50744
14330 steer -65536
14370 steer -62122
14380 steer -42779
14390 steer -7507
14400 steer 0
14450 steer -16041
14460 steer -35952
14470 steer -59278
14480 steer -65536
14780 steer -61553
14790 steer -29694
14800 steer 0
14810 steer 11794
14820 steer 56291
14830 steer 65536
14920 steer 51668
14930 steer 0
14940 steer -14334
14950 steer -35383
14960 steer -65536
15010 steer -62691
15020 steer -26281
15030 steer 3703
15040 steer 45310
15050 steer 65536
15210-17840 press up
15220 steer 45888
15230 steer 16416
15230-18610 press down
15240 steer 0
15260 steer -4094
15270 steer -17747
15280 steer -34815
15290 steer -54726
15300 steer -65536
15810 steer -12627
15820 steer 0
17490 steer 9480
17500 steer 33175
17510 steer 53980
17520 steer 65536
17800 steer 4280
17810 steer 21616
17820 steer 47624
17830 steer 63227
17840 steer 65536
18010 steer 62649
18020 steer 0
18060 steer -38797
18070 steer -65536
18310 steer -62691
18320 steer -43348
18330 steer -680
18340 steer 5436
18340-22240 press up
18350 steer 30286
18360 steer 65536
19030 steer 50513
19040 steer 37221
19050 steer 10058
19060 steer 0
19590 steer -2387
19600 steer -13196
19610 steer -20023
19620 steer -26850
19630 steer -27988
19640 steer -27419
19650 steer -27988
19660 steer -25143
19670 steer -11489
