# Time: 14040, iterations: 75
0-6470 press up
520 steer 21616
530 steer 38033
540 steer 33752
550 steer 37221
560 steer 38377
570 steer 38955
580 steer 38377
600 steer 38955
610 steer 38377
640 steer 33752
650 steer 32019
660 steer 26819
670 steer 18150
680 steer 9480
690 steer 814
700 steer 0
1000 steer 3703
1010 steer 7169
1030 steer 8903
1040 steer 9480
1060 steer 10058
1100 steer 9480
1110 steer 3703
1120 steer 2547
1130 steer 0
2570 steer -4663
2580 steer -14334
2590 steer -21730
2600 steer -28557
2610 steer -37659
2620 steer -44486
2630 steer -46193
2640 steer -47899
2650 steer -48468
2660 steer -49037
2670 steer -48468
2680 steer -46193
2690 steer -43917
2700 steer -34815
2710 steer -27419
2720 steer -17747
2730 steer 0
3280 steer -680
3290 steer -2387
3300 steer -10352
3310 steer -19454
3320 steer -21730
3330 steer -27419
3340 steer -29694
3350 steer -31401
3360 steer -31970
3370 steer -32539
3390 steer -33108
3400 steer -32539
3420 steer -30263
3430 steer -25143
3440 steer -19454
3450 steer -9214
3460 steer 0
3720 steer 5436
3730 steer 7747
3740 steer 12949
3750 steer 16416
3760 steer 16994
3790 steer 17572
3810 steer 16994
3820 steer 17572
3840 steer 15838
3850 steer 8325
3860 steer 7747
3870 steer 4280
3880 steer 1969
3890 steer 0
4310 steer 2547
4320 steer 6014
4330 steer 7747
4380 steer 7169
4390 steer 3125
4400 steer 0
4750 steer 3703
4760 steer 7169
4770 steer 9480
4780 steer 14105
4790 steer 16994
4800 steer 18727
4810 steer 19883
4820 steer 20461
4830 steer 21039
4960 steer 25663
4980 steer 30863
4990 steer 38955
5000 steer 40688
5010 steer 43577
5020 steer 47044
5030 steer 49935
5040 steer 50513
5060 steer 46661
5070 steer 55135
5080 steer 57446
5090 steer 59180
5100 steer 60338
5110 steer 62649
5120 steer 63227
5130 steer 63804
5160 steer 64382
5170 steer 63804
5170-5180 press down
5190 steer 63227
5200 steer 64382
5210 steer 64960
5220 steer 64382
5250 steer 64960
5260 steer 64382
5270 steer 64960
5290 steer 64382
5310 steer 64960
5330 steer 64382
5370 steer 64960
5390 steer 64382
5400 steer 64960
5450 steer 64382
5460 steer 64960
5470 steer 64382
5480 steer 64960
5500 steer 64382
5520 steer 64960
5540 steer 64382
5580 steer 64960
5600 steer 64382
5620 steer 64960
5650 steer 64382
5690 steer 61120
5760 steer 64382
5790 steer 64960
5810 steer 64382
5830 steer 64960
5890 steer 64382
5900 steer 64960
6040 steer 64382
6050 steer 64960
6070 steer 64382
6080 steer 64960
6130 steer 64382
6150 steer 64960
6180 steer 64382
6190 steer 64960
6200 steer 64382
6220 steer 64960
6240 steer 64382
6250 steer 64960
6640 steer 64382
6650 steer 63960
6670-7620 press up
6900-7600 press down
7280 steer 59382
7290 steer 65536
7550 steer 0
8910 steer -680
8920 steer -7507
8930 steer -22299
8940 steer -29126
8950 steer -36521
8960 steer -41073
8970 steer -48468
8980 steer -50175
8990 steer -51313
9000 steer -55295
9010 steer -55864
9020 steer -59278
9030 steer -65536
9150-14050 press up
9350 steer -64398
9360 steer -57002
9370 steer -43348
9380 steer -28557
9390 steer -17178
9400 steer 0
9510 steer -4094
9520 steer -17747
9530 steer -25712
9540 steer -31401
9550 steer -50175
9560 steer -54726
9570 steer -65536
11200 steer -62691
11210 steer -54157
11220 steer -49037
11230 steer -43348
11240 steer -39366
11250 steer -34246
11260 steer -31970
11270 steer -29694
11280 steer -28557
11290 steer -25712
11300 steer -23436
11310 steer -17747
11320 steer -11489
11330 steer -6369
11340 steer -680
11350 steer 0
11780 steer 814
11790 steer 16416
11800 steer 24508
11810 steer 37221
11820 steer 43577
11830 steer 49357
11840 steer 52824
11850 steer 53980
11860 steer 55713
11900 steer 55135
11910 steer 52246
11920 steer 43577
11930 steer 33752
11940 steer 16994
11950 steer 5436
11960 steer 0
12070 steer 7169
12080 steer 12949
12090 steer 25085
12100 steer 42666
12110 steer 41266
12120 steer 47044
12130 steer 47624
12160 steer 46466
12170 steer 37799
12180 steer 26819
12190 steer 12949
12200 steer 1969
12210 steer 0
12350 steer 3125
12360 steer 7747
12370 steer 9480
12380 steer 10058
12390 steer 13527
12400 steer 16416
12410 steer 19883
12420 steer 28552
12430 steer 31441
12440 steer 37221
12450 steer 40688
12460 steer 44155
12480 steer 44733
12500 steer 42421
12510 steer 37221
12520 steer 25663
12530 steer 20461
12540 steer -8883
12780 steer 814
12790 steer 1969
12800 steer 3703
12810 steer 4858
12820 steer 7747
12830 steer 9480
12840 steer 11794
12850 steer 14105
12860 steer 16994
12870 steer 22772
12880 steer 27974
12890 steer 38955
12900 steer 42421
12910 steer 49357
12920 steer 56869
12930 steer 57446
12960 steer 52246
12970 steer 48779
12980 steer 40688
12990 steer 17572
13000 steer 3125
13010 steer 0
13130 steer 1391
13140 steer 6014
13150 steer 22772
13160 steer 36644
13170 steer 64382
13180 steer 65536
13200-14050 press down
14040 steer 56869
